Time_UTC_Chile,Los_Tilos,San_Antonio_de_Naltahua,San_Pedro_de_Melipilla,Talagante_Talagante
05/14/19,1.55,1.21,0.97,1.9
05/15/19,1.23,0.94,0.58,1.7
05/16/19,0.7,0.71,0.94,0.7
05/17/19,0.85,0.83,0.86,1
05/18/19,1.68,1.05,1.14,1.7
05/19/19,0.97,0.69,0.76,0.9
05/20/19,0.83,1.07,0.8,1
05/21/19,0.78,0.87,0.78,1.2
05/22/19,1.07,0.93,0.92,1.4
05/23/19,1.08,0.89,0.86,1.6
05/24/19,1.01,0.81,0.79,1.4
05/25/19,0.97,1.08,0.77,1.1
05/26/19,0.64,0.68,1,0.9
05/27/19,0.87,1,0.82,1.1
05/28/19,0.95,0.96,0.85,1.3
05/29/19,1.21,1.46,0.64,1.9
05/30/19,0.85,0.67,0.8,1.1
05/31/19,0.68,0.88,1.26,0.9
06/01/19,0.61,0.61,0.66,0.8
06/02/19,1.06,0.82,0.71,1.2
06/03/19,0.99,0.81,0.68,1.5
06/04/19,0.81,0.66,0.75,1.1
06/05/19,1.04,0.9,0.77,1.3
06/06/19,0.96,1.12,0.82,1
06/07/19,1.47,0.72,0.87,1.2
06/08/19,1.5,0.74,0.81,1.3
06/09/19,1.21,0.89,0.71,1.4
06/10/19,0.88,0.72,0.72,1.2
06/11/19,0.76,0.82,0.66,0.9
06/12/19,0.93,1.13,1.16,1.1
06/13/19,0.6,0.61,0.67,0.6
06/14/19,0.63,0.46,0.55,0.7
06/15/19,0.75,0.67,0.56,0.8
06/16/19,0.8,0.73,0.69,1
06/17/19,0.67,0.58,0.55,0.7
06/18/19,1.04,0.76,0.65,1.1
06/19/19,1.04,0.82,0.57,1.3
06/20/19,0.97,0.79,0.58,1.2
06/21/19,0.72,0.72,0.7,0.8
06/22/19,1.1,0.62,0.68,1.1
06/23/19,0.72,0.56,0.55,0.8
06/24/19,0.59,0.5,0.46,0.6
06/25/19,0.93,0.57,0.55,0.9
06/26/19,0.64,0.52,0.45,0.7
06/27/19,0.61,0.5,0.55,0.6
06/28/19,0.58,0.51,0.73,0.6
06/29/19,0.6,0.57,0.58,0.7
06/30/19,0.85,0.7,0.6,0.8
07/01/19,0.9,0.66,0.62,1.1
07/02/19,1.19,0.63,0.61,1.1
07/03/19,1.46,0.76,0.72,1.2
07/04/19,1.28,0.76,0.78,1
07/05/19,1.12,0.81,0.69,
07/06/19,0.78,0.72,0.5,
07/07/19,0.59,0.63,0.63,0.7
07/08/19,0.65,0.76,0.57,0.8
07/09/19,0.76,0.79,0.78,0.9
07/10/19,0.62,0.52,0.49,0.7
07/11/19,0.69,0.68,0.61,0.9
07/12/19,0.82,0.78,0.67,0.9
07/13/19,0.94,0.72,0.68,1
07/14/19,1.38,0.75,0.85,1.2
07/15/19,1.62,0.98,0.88,
07/16/19,1.33,0.97,0.78,
07/17/19,0.75,0.64,0.64,0.8
07/18/19,1.6,0.87,0.93,1.3
07/19/19,1,0.66,0.79,1
07/20/19,0.97,0.84,0.76,1.2
07/21/19,0.53,0.62,0.75,0.5
07/22/19,1.04,0.71,0.82,1
07/23/19,0.95,0.81,0.74,1
07/24/19,1.14,1.06,0.81,1.2
07/25/19,0.96,0.86,0.89,1.1
07/26/19,1.24,0.85,0.87,1.2
07/27/19,0.75,0.69,0.86,0.9
07/28/19,1,0.83,0.78,1.1
07/29/19,1.19,1.12,1.03,1.4
07/30/19,1.87,1.21,1.3,1.7
07/31/19,1.05,0.84,1.06,0.8
08/01/19,2.16,1.09,1.38,
08/02/19,1.84,1.25,1.49,1.8
08/03/19,2.23,1.3,1.18,2
08/04/19,2.18,1.62,1.32,2.3
08/05/19,1.5,0.91,0.88,1.2
08/06/19,0.87,0.7,0.96,0.9
08/07/19,1.89,1.13,1.32,1.7
08/08/19,1.29,1.28,1.07,1.4
08/09/19,1.42,1.14,1.05,1.4
08/10/19,1.54,1.27,1.27,1.6
08/11/19,1.38,1.46,1.21,1.5
08/12/19,2.25,1.4,1.48,2.1
08/13/19,2.18,1.3,1.18,2.1
08/14/19,2.38,1.86,1.13,2.5
08/15/19,0.86,0.83,0.82,0.9
08/16/19,1.03,1.09,0.75,1
08/17/19,1.28,1.34,1.47,1.5
08/18/19,0.87,0.84,0.9,0.9
08/19/19,0.88,0.76,0.77,
08/20/19,1.93,2.24,1.62,2.7
08/21/19,1.07,0.85,0.91,1.2
08/22/19,2.6,2.36,1.91,2.9
08/23/19,2.61,2.16,1.87,2.6
08/24/19,2.09,2,2.03,2.1
08/25/19,1.44,1.58,1.54,1.6
08/26/19,2.05,1.39,1.65,1.9
08/27/19,2.66,1.96,1.83,2.5
08/28/19,2.53,2.6,2.1,2.7
08/29/19,2.53,1.8,1.56,2.2
08/30/19,3.39,1.94,2.17,2.5
08/31/19,3.25,2.15,2.25,2.4
09/01/19,3.49,2.3,2.39,2.6
09/02/19,2.98,2.32,2.24,2.6
09/03/19,2.61,2.14,2.03,2.5
09/04/19,2.19,2.06,1.54,2.1
09/05/19,1.79,2.12,2.31,1.7
09/06/19,1.45,1.57,1.54,1.4
09/07/19,1.44,1.54,1.22,1.6
09/08/19,2.03,2.03,1.77,1.9
09/09/19,1.22,1.13,1.34,1.1
09/10/19,2.35,1.85,1.77,2.1
09/11/19,2.5,2.26,2.4,2.5
09/12/19,3.7,2.65,2.71,3.1
09/13/19,3.05,2.85,2.2,3.1
09/14/19,1.32,2.21,1.76,1.8
09/15/19,2.05,2.27,1.99,2
09/16/19,3.46,2.59,2.57,2.7
09/17/19,2.47,2.49,2.04,2.6
09/18/19,2.68,2.54,2.54,2.7
09/19/19,2.72,2.37,2.47,2.3
09/20/19,4.09,2.79,2.95,3.4
09/21/19,4.4,3.06,3.22,3.5
09/22/19,3.39,3.41,2.43,3.7
09/23/19,2.82,2.76,2.46,3.1
09/24/19,3.02,2.62,1.98,3.1
09/25/19,3.54,2.93,1.92,3.4
09/26/19,2.53,2.07,1.03,2.4
09/27/19,2.77,2.81,2.44,2.6
09/28/19,3.35,3.36,3,3.6
09/29/19,2.9,2.4,0.94,2.8
09/30/19,1.17,1.25,1.37,1.3
10/01/19,1.65,2.67,2.52,1.9
10/02/19,2.7,2.97,2.82,2.9
10/03/19,2.96,3.03,2.83,3.1
10/04/19,3.88,3.15,3.31,
10/05/19,3.53,3.31,3.26,3.4
10/06/19,3.98,3.68,3.84,3.7
10/07/19,5.07,3.47,3.86,3.9
10/08/19,5.2,4.28,4.31,4.8
10/09/19,3.46,3.48,3.57,3.6
10/10/19,2.62,3.11,2.63,3.2
10/11/19,1.71,2.31,1.98,2.4
10/12/19,1.41,1.55,1.76,1.5
10/13/19,2.57,3.07,3.03,2.8
10/14/19,1.49,1.56,1.9,1.6
10/15/19,3.43,3.81,3.48,3.8
10/16/19,2.26,2.49,2.33,2.3
10/17/19,3.5,3.89,3.8,3.7
10/18/19,3.8,3.97,3.58,3.9
10/19/19,2.69,2.38,1.15,2.8
10/20/19,3.08,3.82,3.87,3.5
10/21/19,4.87,4.25,4.37,4.2
10/22/19,4.16,4.71,4.4,4.6
10/23/19,3.68,4.06,3.31,4.7
10/24/19,3.85,4.12,3.67,4.1
10/25/19,3.47,4.22,3.84,4.2
10/26/19,2.95,3.83,3.37,3.7
10/27/19,1.49,2.86,2.62,2.3
10/28/19,3.7,4.18,3.81,3.9
10/29/19,3.35,3.83,3.77,3.4
10/30/19,4.36,4.44,4.62,4.3
10/31/19,3.82,4.04,3.75,4.3
11/01/19,3.62,4.21,3.91,4.2
11/02/19,5.52,4.66,5.04,5
11/03/19,4.14,4.28,3.92,4.4
11/04/19,3.25,3.42,3.57,3.4
11/05/19,4.92,4.76,4.7,4.8
11/06/19,4.94,4.94,5.05,4.8
11/07/19,5.34,5.48,5.4,5.6
11/08/19,2.83,3.18,2.95,
11/09/19,4.95,5.52,5.68,5.6
11/10/19,4.69,5.17,4.83,5.6
11/11/19,4.03,3.91,2.31,4.3
11/12/19,4.35,4.49,3.65,4.7
11/13/19,4.45,4.54,4.31,4.8
11/14/19,4.86,4.99,5.09,5.1
11/15/19,5.9,5.64,6.23,5.4
11/16/19,4.96,5.35,5.78,5.6
11/17/19,4.72,5.11,5.21,5.3
11/18/19,6.17,4.96,5.58,5.5
11/19/19,5.04,5.48,5.07,5.7
11/20/19,5.13,5.82,5.14,5.7
11/21/19,4.11,4.12,3.71,4.7
11/22/19,4.56,4.71,4.31,4.9
11/23/19,4.21,4.6,3.49,4.4
11/24/19,3.63,4.09,4.15,3.5
11/25/19,2.36,3.59,4.22,2.9
11/26/19,5.6,4.98,5.31,4.9
11/27/19,6.06,5.52,6.13,5.5
11/28/19,5.08,5.57,5.65,5.5
11/29/19,5.21,5.54,5.44,5.6
11/30/19,5.72,5.79,5.97,5.7
12/01/19,4.57,4.86,4.03,5
12/02/19,4.37,4.18,4.26,4.8
12/03/19,5.59,5.62,6.04,5.4
12/04/19,4.92,5.52,5.1,5.4
12/05/19,5.05,5.84,5.74,5.8
12/06/19,4.69,4.96,4.5,5.2
12/07/19,4.65,4.68,4.21,4.9
12/08/19,4.79,4.91,4.64,5.1
12/09/19,4.87,4.69,4.26,5
12/10/19,4.79,4.56,4.28,4.9
12/11/19,5.15,5.07,5.58,5.2
12/12/19,6.32,6.03,6.56,6
12/13/19,4.95,5.67,5.15,5.5
12/14/19,1.99,3.13,3.9,2.5
12/15/19,4.9,5.59,5.88,5.4
12/16/19,5.76,5.67,6.07,5.7
12/17/19,5.81,6.02,6.54,5.7
12/18/19,5.42,5.98,6.45,5.8
12/19/19,3.66,3.78,3.83,4.2
12/20/19,5.43,5.76,6.08,5.8
12/21/19,5.73,5.93,5.91,6.1
12/22/19,5.49,6.04,6.33,6.1
12/23/19,5.92,6.69,6.58,6.4
12/24/19,5.38,5.82,5.82,6
12/25/19,5.69,5.46,5.56,5.5
12/26/19,5.1,5.82,5.5,5.9
12/27/19,5.22,5.82,5.46,6.1
12/28/19,5.34,6.27,6.2,6
12/29/19,4.79,5.78,5.31,6.1
12/30/19,5.45,5.92,5.39,6.1
12/31/19,5.19,5.51,4.88,6
